Pokorny_entry	English_gloss
g̑han-	to yawn
g̑han-s-	goose
1 g̑hasto-, g̑hazdho-	pole, rod, gad; twig
2 g̑hasto-	arm, hand
g̑hau-, g̑hau̯ə-	to call
ghau̯o-	FALSE
g̑hðem-, g̑hðom-, genitive-ablative g̑h(ð)m-és	earth, ground, soil, humus
g̑hði̯és, zero-grade g̑hðis, simplified to g̑hðés, g̑hi̯és, g̑hés	yesterday
g̑hðū-, or g̑hi̯ū-?	fish, ichthyoid
ghe-, gho-	(enclitic (emphatic?) particle)
1 g̑hē-, g̑hēi-	to lack, be empty; leave, go out
2 g̑hē- : ghə-, and g̑hēi- : g̑hī-	to gape, yawn
ghebh-el-, ghebh-el-, ghebh-elo-	gable, head
ghed-	to defecate; hole, opening
ghedh-, ghodh-	to join, unite, gather, make a bond
ghegh-	to bend, curve
g̑(h)eg̑h-	ferret (or similar carnivorous mammal)
1 g̑hei-, g̑hēi-	to goad, drive; to throw, wound
2 g̑hei- : g̑hi-	snow; winter
gheidh-	to desire, yearn for
gheig̑h-	to desire, yearn for
gheis-, and g̑heiz-d-	shocked, aghast, confused
ghel-	to yell, call, cry
1 g̑hel-, and ghel-?, also as i-, u-, or n-stem; g̑helə-, g̑hlē-, g̑hlō-, g̑hlə-	to shine, glare, glow; gold, yellow, bright color
2 g̑hel-	to cut?
g̑hēlā	wine?
gheldh-	to desire, wish for
ghel(ē̆)g̑h-	(type of metal)
gheləd-	hail, ice
ghelg̑h-	gland
ghel-ond-, ghol-n̥d-	stomach, intestines
ghel-ōu-, ghelū-	turtle, tortoise
ghel-tō, Germanic and ghel-dhō Slavic	to cost, pay, be worth
ghelunā	jaw, gill
ghen-	to grind, crack open, gnaw to pieces
ghend-, and ghed-	to get, grasp, seize
ghendh-, ghondh-	boil, abscess
g̑hengh-	to step, stride, march
1 gher-	(onomatopoeic: to snarl, rattle, etc.)
2 gher-	to rub, stroke hard
3 gher-, ghrē- : ghrō- : ghrə-	to come out, jut out
1 g̑her-	to desire, yearn for
2 g̑her-	to gash, slit, scrape, scratch
3 g̑her-, and g̑herə-, g̑hrē-	to beam, shine, shimmer
4 g̑her-	to grab, grip, seize
5 g̑her-, g̑hor-nā	bowels
6 g̑her-, g̑herə- : g̑hrē-?	short, small
7 g̑her-	to stiffen, stand out
g̑herdh-, and gherdh-	to gird, enclose, encompass
1 ghers-, ghres-	horror, disgust, revulsion
2 ghers-	(type of weed, e.g. goat's foot)
g̑hers-	to stiffen, bristle, stand out
gherto-	milk, butter
g̑herzd(h), genitive g̑hr̥zd(h)-es, g̑herzdā	barley, prickly grain
g̑héslo-	thousand, chiliad
g̑hesor-, g̑hesr-	hand
g̑hesto-	arm, hand
1 g̑heu-	to gush, pour, found
2 g̑heu-, g̑heu-d-	to die, disappear, get away
g̑hēu- : g̑hō(u)- : g̑həu-	to gape, yawn
gheub(h)-	to bend, move
gheug̑h-, ghū̆g̑h-	to conceal, do secretly
gheu̯ei̯ā, g̑heu̯ei̯ā	pit, hollow
ghlādh-	bright, brilliant
g̑hlād-	to call, sound
ghleu-	to be happy, joyful, gleeful
g̑hō	behind; towards
ghoilo-s	foaming, turbulent, frothing up
ghom-	stall
ghō̆s-	to eat
ghosti-s	guest, stranger
ghou̯(ē)-	to gawk, be aware of, pay attention to
ghou-ro-s	frightened, frightening
ghous-	to sound, hear
ghrē- : ghrō- : ghrə-	to grow, become green
1 ghrebh-, gherbh-, root extension ghrebhā-	to grab, grasp
2 ghrebh-	to dig, grub, grave, scratch
ghredh-	to stride, march
ghrēi- : ghrəi- : ghrī-, and lit. ghrei-	to smear over
ghreib-	to grip, grab
1 ghrem-	to rub, scratch
2 ghrem-	to grumble; resound, thunder
ghren-	to grind, rub, stroke hard
ghrendh-	beam
