Reflex,Etyma
sawn,2. sē̆k-
saw,2. seku̯-
saxatile,2. sē̆k-
saxicolous,"1. ku̯el- , 2. sē̆k-"
saxifrage,1. bhreg̑-
Saxon,2. sē̆k-
say,2. seku̯-
scabbard,4. (s)ker-
scabble,2. (s)kē̆p-
scabies,2. (s)kē̆p-
scabrous,2. (s)kē̆p-
scab,2. (s)kē̆p-
scagliola,1. (s)kel-
scald,1. k̑el-
scalene,1. (s)kel-
scale,1. (s)kel-
scall,1. (s)kel-
scalpel,1. (s)kel-
scalp,1. (s)kel-
scampi,kam-p-
scant,3. k̑em-
scaphocephalic,"ghebh-el- , 2. (s)kē̆p-"
scaphoid,2. (s)kē̆p-
scaphopod,"2. pē̆d- , 2. (s)kē̆p-"
scapula,2. (s)kē̆p-
scaramouch,4. (s)ker-
scarce,4. (s)ker-
scarf,4. (s)ker-
scarify,2. dhē-
scarlatina,1. seku̯-
scarlet,1. seku̯-
scarp,4. (s)ker-
Scary,4. (s)ker-
scar,4. (s)ker-
Scatha,skēth-
scathe,skēth-
scatology,sk̑er-(d-)
scatter,(s)k(h)ed-
scavager,1. keu-
scavage,1. keu-
scavenger,1. keu-
scent,sent-
scepter,2. (s)kē̆p-
schadenfreude,"preu- , skēth-"
scheme,seg̑h-
scherzo,2. (s)ker-
schiller,4. (s)kel-
schism,skē̆i-
schist,skē̆i-
schizont,es-
schlep,3. lei-
Schlitterbahn,(s)leidh-
schlock,slak-
schmaltz,1. mel-
schmeer,smeru-
schmuck,2. meug-
schnauzer,snā-
schnitzel,sneit-
schnorrer,1. (s)ner-
schnoz,snā-
scholar,seg̑h-
scholastic,seg̑h-
scholium,seg̑h-
school,1. (s)kel-
schuss,2. (s)keud-
sciaenoid,sk̑āi-
sciascope,sk̑āi-
science,skē̆i-
scilicet,skē̆i-
scintillate,sk̑āi-
scintilla,sk̑āi-
sciolism,skē̆i-
scion,g̑ēi-
scission,skē̆i-
scissor,(s)k(h)ai-
sciurid,sk̑āi-
sclera,3. (s)kel-
scleroma,3. (s)kel-
sclerosis,3. (s)kel-
sclerotic,3. (s)kel-
sclerotium,3. (s)kel-
sclerotization,3. (s)kel-
sclerous,3. (s)kel-
sclero-,3. (s)kel-
scler-,3. (s)kel-
scoff,skeub-
scold,2. seku̯-
scolex,4. (s)kel-
scoliosis,4. (s)kel-
sconce,2. dhē-
scone,1. keu-
scoop,2. (s)kē̆p-
-scope,spek̑-
scope,spek̑-
-scopy,spek̑-
scop,skeub-
scorch,(s)kerb(h)-
score,4. (s)ker-
scoria,sk̑er-(d-)
scotia,skot-
scotoma,skot-
scotophil,"bhili- , skot-"
scotophobia,skot-
scot,2. (s)keud-
scourge,reig-
scour,k̑ēu̯ero-
scout,2. (s)keud-
scrabble,4. (s)ker-
scrag,1. gu̯er-
scrape,4. (s)ker-
scrap,4. (s)ker-
scratch,gred-
scrat,gred-
screak,1. ker-
scream,1. ker-
screech,1. ker-
screed,4. (s)ker-
screen,4. (s)ker-
screw,4. (s)ker-
scribble,4. (s)ker-
scribe,4. (s)ker-
scrimmage,4. (s)ker-
scrimp,(s)kerb(h)-
scriptorium,4. (s)ker-
scripture,4. (s)ker-
script,4. (s)ker-
scritch,1. ker-
scrobiculate,4. (s)ker-
scrod,4. (s)ker-
scrofula,4. (s)ker-
scroll,4. (s)ker-
scrotum,4. (s)ker-
scrub,4. (s)ker-
scrutiny,4. (s)ker-
scudo,skē̆i-
scuffle,skeub-
scuff,skeub-
sculpture,1. (s)kel-
scum,2. (s)keu-
scupper,2. (s)kē̆p-
scurf,4. (s)ker-
scutch,ku̯ēt-
scutum,skē̆i-
scyphistoma,stomen-
scythe,2. sē̆k-
seal,selk-
seam,si̯ū-
seance,sed-
search,3. (s)ker-
sear,4. ser-
seashore,4. (s)ker-
season,2. sē(i)-
seat,sed-
seaware,"sāi- , 1. u̯ei-"
seaweed,sāi-
sea,sāi-
secant,2. sē̆k-
secco,seiku̯-
secede,sed-
secern,4. (s)ker-
seclude,klēu-
secondo,1. seku̯-
second,1. seku̯-
secretary,4. (s)ker-
secret,4. (s)ker-
-sect,2. sē̆k-
sectile,2. sē̆k-
section,2. sē̆k-
sector,2. sē̆k-
sect,1. seku̯-
secular,3. sē(i)-
secundines,1. seku̯-
secund,1. seku̯-
secure,kois-
sedate,sed-
sedentary,sed-
sederunt,sed-
sedge,2. sē̆k-
sedile,sed-
sedilia,sed-
sediment,sed-
sedition,1. ei-
seduce,"deuk- , se-"
seduction,"deuk- , se-"
sedulous,1. del-
seecatch,2. sē̆k-
seed,2. sē(i)-
seek,sāg-
seel,4. k̑el-
seemly,2. sem-
seem,2. sem-
seen,2. seku̯-
seep,seip-
seethe,4. seu-
see,2. seku̯-
segment,2. sē̆k-
segno,1. seku̯-
segregate,1. ger-
segue,1. seku̯-
seguidilla,1. seku̯-
seicento,dek̑m̥
seigniory,sen(o)-
seignior,sen(o)-
seignory,sen(o)-
seismo-,2. tu̯ei-
seism,2. tu̯ei-
select,leg̑-
self,se-
sell,3. sel-
selvage,2. ak̑-
semantics,dhei̯ə-
semantic,dhei̯ə-
semaphore,dhei̯ə-
semasiology,dhei̯ə-
sematic,dhei̯ə-
sememe,dhei̯ə-
semen,2. sē(i)-
semester,"mēnōt , su̯ek̑s"
seme,2. sē(i)-
seminary,2. sē(i)-
semiology,dhei̯ə-
semiotics,dhei̯ə-
semiotic,dhei̯ə-
semi-,sēmi-
sempiternal,aiu̯-
semplice,2. sem-
sempre,2. sem-
señor,sen(o)-
senary,su̯ek̑s
senate,sen(o)-
send,sent-
senectitude,sen(o)-
senescent,sen(o)-
senile,sen(o)-
senior,sen(o)-
seniti,dek̑m̥
senopia,"oku̯- , sen(o)-"
sense,sent-
sentence,sent-
sentient,sent-
sentiment,sent-
sentinel,sent-
sent,sent-
sen,dek̑m̥
separate,2d. per-
September,septm̥
septennial,"at- , septm̥"
septentrion,3. ter-
septet,septm̥
septifragal,1. bhreg̑-
Septuagint,dek̑m̥
septuple,"3a. pel- , septm̥"
sepulcher,sep-
sepulture,sep-
sequacious,1. seku̯-
sequence,1. seku̯-
sequester,1. seku̯-
sequestrum,1. seku̯-
serac,1. ser-
seraglio,5. ter-
serai,5. ter-
serene,k̑sē̆-ro-
sere,saus-
series,4. ser-
serif,4. (s)ker-
serious,1. u̯er-
sermon,4. ser-
serotinous,2. sē(i)-
serpent,serp-
serpigo,serp-
serried,4. ser-
sertularian,4. ser-
serum,1. ser-
serval,1. k̑er-
servant,2. ser-
serve,2. ser-
sesquipedalian,"1. ku̯e , 2. pē̆d- , sēmi-"
sesquipedal,"1. ku̯e , 2. pē̆d- , sēmi-"
sesqui-,"1. ku̯e , sēmi-"
sessile,sed-
session,sed-
sesterce,trei-
sestet,su̯ek̑s
sestina,su̯ek̑s
seta,3. sē(i)-
setiferous,3. sē(i)-
setigerous,3. sē(i)-
settlement,sed-
settle,sed-
set,sed-
seventeen,dek̑m̥
seventh,septm̥
seventy,septm̥
seven,septm̥
several,2d. per-
severe,seg̑h-
sever,2d. per-
sewer,sed-
sewn,si̯ū-
sew,si̯ū-
sexagenary,su̯ek̑s
sexcentenary,su̯ek̑s
sexennial,"at- , su̯ek̑s"
sextant,su̯ek̑s
sextile,su̯ek̑s
sextodecimo,dek̑m̥
sexton,sak-
sextuple,3a. pel-
sext,su̯ek̑s
sex-,su̯ek̑s
sfumato,4. dheu-
shabby,2. (s)kē̆p-
shab,2. (s)kē̆p-
shadde,skot-
shade,skot-
Shadowfax,"2. pek̑- , skot-"
Shadowmere,"mori , skot-"
shadow,skot-
shaft,2. (s)kē̆p-
shaggy,(s)kek-
shag,(s)kek-
shah,kþē(i)-
shaken,(s)kek-
shake,(s)kek-
Shakti,2. k̑ak-
shale,1. (s)kel-
shallow,3. (s)kel-
shall,2. (s)kel-
shambles,skabh-
shamble,skabh-
shamefaced,pasto-
shame,3. k̑em-
shank,(s)keng-
shape,2. (s)kē̆p-
shard,4. (s)ker-
share,4. (s)ker-
sharp,4. (s)ker-
shatter,(s)k(h)ed-
shave,2. (s)kē̆p-
shawm,k̑oləmo-s
sheaf,(s)keup-
shears,4. (s)ker-
shear,4. (s)ker-
sheath,skē̆i-
sheave,skē̆i-
shed,skot-
sheen,1. keu-
sheer,4. (s)ker-
sheet,2. (s)keud-
shee,sed-
sheldrake,1. (s)kel-
shelf,1. (s)kel-
shell,1. (s)kel-
Shelob,so(s)
shelter,1. (s)kel-
shelve,1. (s)kel-
shepherd,k̑erdho-
sheriff,sk̑āi-
she,so(s)
shield,1. (s)kel-
shimmer,sk̑āi-
shine,sk̑āi-
shingles,1. kenk-
shingle,(s)k(h)ed-
shin,skē̆i-
-ship,2. (s)kē̆p-
shippen,(s)keup-
shipperke,skē̆i-
ship,skē̆i-
Shire-moot,"mōd- , sk̑āi-"
Shire,sk̑āi-
shire,sk̑āi-
Shirriff,sk̑āi-
shirt,4. (s)ker-
shit,skē̆i-
shiver,skē̆i-
shive,skē̆i-
shiv,skē̆i-
shoal,3. (s)kel-
shod,2. (s)keu-
shoed,2. (s)keu-
shoe,2. (s)keu-
shone,sk̑āi-
shook,(s)kek-
shoot,2. (s)keud-
shop,(s)keup-
shore,4. (s)ker-
shorn,4. (s)ker-
short,4. (s)ker-
shot,2. (s)keud-
shout,2. (s)keud-
shovel,skeub-
shove,skeub-
shower,k̑ēu̯ero-
show,1. keu-
shred,4. (s)ker-
shrewd,4. (s)ker-
shrewmouse,4. (s)ker-
shrew,4. (s)ker-
shrike,1. ker-
shrimp,(s)kerb(h)-
shrink,3. (s)ker-
shrive,4. (s)ker-
shroud,4. (s)ker-
shrub,4. (s)ker-
shtetl,stā-
shtick,1. (s)teu-
shudder,(s)kū̆t-
shuffle,skeub-
shuttle,2. (s)keud-
shut,2. (s)keud-
shyster,skē̆i-
shy,skeub-
sialadenitis,"engu̯- , 2. sal-"
sibilate,su̯ei-
sib,se-
siccative,seiku̯-
sicken,seug-
Sickle,2. sē̆k-
sickle,2. sē̆k-
sickness,seug-
sick,seug-
sic,se-
sidereal,1. su̯eid-
side,2. sē(i)-
sidhe,sed-
siege,sed-
sierozem,g̑hðem-
siesta,su̯ek̑s
sieve,seip-
sift,seip-
sight,2. seku̯-
sigil,1. seku̯-
signory,sen(o)-
sign,1. seku̯-
Sikh,2. k̑ak-
silent,2. sē(i)-
silly,3. sel-
sill,2. sel-
silt,1. sal-
silurid,ers-
silvan,u̯idhu-
silva,u̯idhu-
Silverlode,2. leit(h)-
Silvertine,ed-
silvicolous,1. ku̯el-
Simbelmynë,"3. men- , 2. sem-"
similar,2. sem-
simplex,2. sem-
simple,2. sem-
simplicity,2. sem-
simultaneous,2. sem-
sincere,2. k̑er-
since,2. sē(i)-
sinciput,kap-ut
sinecure,"kois- , seni-"
sinew,3. sē(i)-
singe,senk-
single,2. sem-
singspiel,sengu̯h-
sing,sengu̯h-
sinistrorse,3. u̯er-
sink,sengu̯-
sinsemilla,seni-
sinter,sendhro-
sin,es-
sipe,seip-
sip,1. seu-
sirdar,2. dher-
sire,sen(o)-
sirloin,2. lendh-
sir,sen(o)-
sister,su̯esor-
Sistine,su̯ek̑s
sistrum,2. tu̯ei-
sitar,1. ten-
site,1. k̑ei-
sithence,2. sē(i)-
sith,2. sē(i)-
situate,1. k̑ei-
situs,1. k̑ei-
sitzkrieg,2. gu̯er-
sitzmark,sed-
sitz,sed-
sit,sed-
sixteen,dek̑m̥
sixth,su̯ek̑s
sixty,su̯ek̑s
six,su̯ek̑s
skald,2. seku̯-
skate,skē̆i-
skatole,sk̑er-(d-)
skean,skē̆i-
skeg,(s)kek-
skeleton,3. (s)kel-
skeptic,spek̑-
skerry,4. (s)ker-
skewbald,2. (s)keu-
skiagram,sk̑āi-
skiascope,sk̑āi-
skiff,skē̆i-
skijoring,g̑eu-
skill,1. (s)kel-
skim,2. (s)keu-
Skinbark,"2. bhreg̑- , (s)ken-(d-)"
skin-changer,(s)ken-(d-)
skin,(s)ken-(d-)
skipper,skē̆i-
skirmish,4. (s)ker-
skirt,4. (s)ker-
skite,skē̆i-
skive,skē̆i-
ski,skē̆i-
skoal,1. (s)kel-
sky,2. (s)keu-
slab,lē̆b-
slack,(s)lēg-
slag,slak-
slain,slak-
slamp,lē̆b-
slaughter,slak-
slaver,lē̆b-
slave,1. k̑leu-
Slavic,1. k̑leu-
Slav,1. k̑leu-
slaw,1. sal-
slay,slak-
slear,(s)leu-
sledgehammer,slak-
sledge,(s)leidh-
sled,(s)leidh-
sleep,lē̆b-
sleer,(s)leu-
sleet,(s)leu-
sleeve,sleub(h)-
sleight,slak-
sleigh,(s)leidh-
slemp,lē̆b-
slept,lē̆b-
slete,(s)leu-
slew,slougo-
slick,3. lei-
slide,(s)leidh-
slid,(s)leidh-
slight,3. lei-
slime,3. lei-
slimy,3. lei-
slingshot,"2. (s)keud- , slenk-"
sling,slenk-
Slinker,slenk-
slink,slenk-
slippery,3. lei-
slip,sleub(h)-
slither,(s)leidh-
slit,1. (s)kel-
sliver,1. (s)kel-
slive,1. (s)kel-
slivovitz,(s)lī-
slobber,(s)leup-
Slocum,"2. keu- , (s)lī-"
sloe,(s)lī-
slogan,g̑ā̆r-
slogorn,g̑ā̆r-
sloop,sleub(h)-
slop,sleub(h)-
slouch,(s)leu-
slough,(s)leug̑-
slovenly,sleub(h)-
sloven,sleub(h)-
slubber,(s)leup-
sludge,(s)leu-
slud,(s)leu-
sluggard,(s)leu-
sluggish,(s)leu-
slug,(s)leu-
sluice,klēu-
slump,lē̆b-
slung,slenk-
slunk,slenk-
slurp,srebh-
slur,(s)leu-
sly,slak-
smack,smeg(h)-
Smallburrow,mēlo-
small,mēlo-
smalt,1. mel-
smart,smerd-
Smaug,2. meug-
Sméagol,2. meug-
smearcase,smeru-
smear,smeru-
smell,1. smel-
smelt,1. smel-
smial,2. meug-
smile,1. (s)mei-
smirk,1. (s)mei-
smite,smē-
smithy,2. smēi-
smith,2. smēi-
smitten,smē-
smock,2. meug-
smoke,(s)meukh-
smolder,1. smel-
smorgasbord,bheredh-
smote,smē-
smother,1. smel-
smoulder,1. smel-
smuggle,2. meug-
smug,2. meug-
smut,1. meu-
snail,sneig-
snake,sneig-
snap,snā-
snarl,1. (s)ner-
snar,1. (s)ner-
snatch,snā-
sneer,pneu-
sneeze,pneu-
snickersnee,"sneit- , (s)teig-"
sniffle,snā-
sniff,snā-
snip,snā-
snivel,snā-
snollygoster,gheis-
snood,(s)nē-
snoop,snā-
snore,pneu-
snorkel,1. (s)ner-
snort,pneu-
snot,snā-
snout,snā-
Snowbourn,"bh(e)reu- , sneigu̯h-"
Snowmane,"mono- , sneigu̯h-"
snow,sneigu̯h-
snub,snā-
snuffle,snā-
snuff,snā-
snug,kes-
soak,1. seu-
soap,seip-
soave,su̯ād-
sober,se-
sociable,1. seku̯-
social,1. seku̯-
society,1. seku̯-
socio-,1. seku̯-
socket,sū̆-s
sodality,se-
sodden,4. seu-
soffritto,6. bher-
sofrito,6. bher-
soggy,1. seu-
soil,sū̆-s
soiree,2. sē(i)-
soke,sāg-
solace,3. sel-
solanaceous,sā́u̯el-
solanine,sā́u̯el-
solan,anət-
solarium,sā́u̯el-
solar,sā́u̯el-
solder,solo-
soldier,solo-
sold,3. sel-
solemn,solo-
sole,3. su̯el-
solicitous,solo-
solicit,solo-
solid,solo-
solifluction,"bhleu- , 1. sel-"
soliloquy,tolku̯-
solipsism,se-
solitary,se-
solitude,se-
Solmath,"mēnōt , 1. seu-"
solo,se-
solstice,stā-
soluble,2. leu-
solum,3. su̯el-
solute,2. leu-
solve,2. leu-
Sol,sā́u̯el-
sol,sā́u̯el-
Somath,"mēnōt , 1. seu-"
soma,tēu-
somber,andho-
-some,tēu-
somersault,4. sel-
some,2. sem-
somnolent,1. su̯ep-
sonant,su̯en-
sonata,su̯en-
sone,su̯en-
song,sengu̯h-
sonic,su̯en-
sonnet,su̯en-
sonorous,su̯en-
son,2. seu-
soothe,es-
sooth,es-
soot,sed-
sopaipilla,1. seu-
soporific,1. su̯ep-
sopor,1. su̯ep-
sopranino,upér
soprano,upér
sop,1. seu-
sorcerer,4. ser-
sorcery,4. ser-
sordid,su̯ordo-s
sordino,2. su̯er-
sord,1. reg̑-
sore,sāi-
soricine,2. su̯er-
sorites,tēu-
sororal,su̯esor-
sororicide,"(s)k(h)ai- , su̯esor-"
sorority,su̯esor-
sorrel,sū-ro-
sorrow,su̯ergh-
sorry,sāi-
sortilege,leg̑-
sort,4. ser-
sorus,tēu-
soteriology,tēu-
soubrette,upér
souffle,3. bhel-
sought,sāg-
sough,u̯ā̆gh-
soukous,ku̯ēt-
sound,su̯ento-
soup,1. seu-
source,1. reg̑-
sourdine,2. su̯er-
sour,sū-ro-
souse,1. sal-
soutane,upo
southern,sā́u̯el-
Southfarthing,"ku̯etu̯er- , sā́u̯el-"
Southlinch,"kleng- , sā́u̯el-"
southward,sā́u̯el-
south,sā́u̯el-
souvenir,gu̯ā-
sou,solo-
sovereign,upér
soviet,2. sem-
sow,sū̆-s
so,se-
space,3. sp(h)ē(i)-
spade,sp(h)ē-
spake,*(s)p(h)ereg-
spale,1. (s)p(h)el-
spall,1. (s)p(h)el-
spancel,2. sp(h)ei
spangle,1. (s)pen(-d)-
spanner,2. sp(h)ei
span-new,neu̯os
span,2. sp(h)ei
spareribs,2. rebh-
sparge,*(s)p(h)ereg-
sparkle,*(s)p(h)ereg-
spark,*(s)p(h)ereg-
sparling,1. (s)p(h)ē̆i-
sparrow,2. sper(-g)-
sparse,*(s)p(h)ereg-
sparteine,3. sper-
spar,1. (s)per-
spathe,sp(h)ē-
spathic,sp(h)ē-
spatial,3. sp(h)ē(i)-
spatula,sp(h)ē-
spat,(s)p(h)i̯ēu-
spawn,1. pet-
spay,sp(h)ē-
speak,*(s)p(h)ereg-
spear,1. (s)per-
species,spek̑-
specimen,spek̑-
specious,spek̑-
speck,3. sp(h)ē(i)-
spectacle,spek̑-
spectrum,spek̑-
speculate,spek̑-
speculum,spek̑-
speech,*(s)p(h)ereg-
speed,3. sp(h)ē(i)-
spell,(s)pel-
spelter,1. (s)p(h)el-
spelt,1. (s)p(h)el-
sperm,2. (s)p(h)er-
spew,(s)p(h)i̯ēu-
sphene,sp(h)ē-
sphere,1. sp(h)er-
Spica,1. (s)p(h)ē̆i-
spica,1. (s)p(h)ē̆i-
spice,spek̑-
spiculum,1. (s)p(h)ē̆i-
spider,1. (s)pen(-d)-
spiegeleisen,1. eis-
spike,1. (s)p(h)ē̆i-
spile,1. (s)p(h)ē̆i-
spill,1. (s)p(h)el-
spilt,1. (s)p(h)el-
spindle,1. (s)pen(-d)-
spinel,1. (s)p(h)ē̆i-
spine,1. (s)p(h)ē̆i-
spinifex,2. dhē-
spink,(s)pingo-
spinney,1. (s)p(h)ē̆i-
spinto,pā̆k̑-
spin,1. (s)pen(-d)-
spiral,3. sper-
spire,3. sper-
spirit,2. peis-
spite,spek̑-
spittle,(s)p(h)i̯ēu-
spittoon,(s)p(h)i̯ēu-
spitz,1. (s)p(h)ē̆i-
spit,(s)p(h)i̯ēu-
splanchnic,sp(h)elg̑h(en)
splanchnology,sp(h)elg̑h(en)
splanchnopleure,sp(h)elg̑h(en)
splay,plek̑-
spleen,sp(h)elg̑h(en)
splendid,2. (s)p(h)el-
splent,(s)plei-
splice,(s)plei-
splinter,(s)plei-
splint,(s)plei-
split,(s)plei-
spoilt,1. (s)p(h)el-
spoil,1. (s)p(h)el-
spoken,*(s)p(h)ereg-
spoke,*(s)p(h)ereg-
spondee,spend-
sponsor,spend-
spontaneous,1. (s)pen(-d)-
spontoon,peuk̑-
spoon,sp(h)ē-
spoor,1. sp(h)er-
sporadic,2. (s)p(h)er-
spore,2. (s)p(h)er-
sport,2b. per-
spouse,spend-
spout,(s)p(h)i̯ēu-
sprag,*(s)p(h)ereg-
sprang,sperg̑h-
sprawl,2. (s)p(h)er-
spray,2. (s)p(h)er-
spread,2. (s)p(h)er-
spree,ghend-
sprent,sp(h)erd(h)-
springbok,"bhū̆g̑o-s , sperg̑h-"
springe,sperg̑h-
springle,sperg̑h-
spring,sperg̑h-
sprinkle,*(s)p(h)ereg-
sprint,sp(h)erd(h)-
spritzer,2. (s)p(h)er-
spritz,2. (s)p(h)er-
sprit,2. (s)p(h)er-
sprout,2. (s)p(h)er-
sprung,sperg̑h-
spry,*(s)p(h)ereg-
spume,(s)poimno-
spunk,sp(h)eng-
spun,1. (s)pen(-d)-
spurge,1. peu-
spurn,1. sp(h)er-
spurry,*(s)p(h)ereg-
spur,1. sp(h)er-
sputnik,pent-
sputter,(s)p(h)i̯ēu-
sputum,(s)p(h)i̯ēu-
spy,spek̑-
squad,ku̯etu̯er-
squalene,(s)ku̯alo-s
square,ku̯etu̯er-
squash,ku̯ēt-
squat,ag̑-
squire,skē̆i-
squirrel,ers-
sri,k̑rei-
stable,stā-
stacker,2. (s)teg-
stack,2. (s)teg-
stacte,stag-
Staddle,stā-
staddle,stā-
staff,steb(h)-
stage,stā-
stagger,2. (s)teg-
stagnant,stag-
stag,stegh-
stain,1. teng-
stair,steigh-
stake,2. (s)teg-
stalag,legh-
stale,3. stel-
stalk,3. ster-
stallion,3. stel-
stall,3. stel-
stalwart,3. u̯er-
stamen,stā-
stammel,stā-
stampede,steb(h)-
stamp,steb(h)-
stance,stā-
stanchion,stā-
stanch,stā-
standard,3. kar-
stand,stā-
stang,stegh-
stanza,stā-
staphylinid,steb(h)-
staphylorrhaphy,steb(h)-
staple,steb(h)-
starboard,"bheredh- , stā-"
starch,1. (s)ter-
starets,stā-
stare,1. (s)ter-
Starkhorn,"1. k̑er- , 1. (s)ter-"
stark,1. (s)ter-
starling,storos
startle,1. (s)ter-
start,1. (s)ter-
starve,1. (s)ter-
star,2. stē̆r-
stasis,stā-
-stat,stā-
state,stā-
statice,stā-
static,stā-
station,stā-
statistics,stā-
stative,stā-
stator,stā-
stato-,stā-
statue,stā-
stature,stā-
status,stā-
statute,stā-
staurolite,stā-
stavesacre,ag̑ro-s
stay,stāk-
steadfast,pasto-
stead,stā-
steak,(s)teig-
stealth,3. ster-
steal,3. ster-
steam,4. dheu-
steapsin,"(s)tāi- , stāi-"
stearate,(s)tāi-
stearic,stāi-
stearine,(s)tāi-
stearin,"(s)tāi- , stāi-"
stearoptene,(s)tāi-
steatite,stāi-
steed,stā-
steel,stāk-
steenbok,"bhū̆g̑o-s , (s)tāi-"
steeple,1. (s)teu-
steep,1. (s)teu-
steer,stā-
steeve,stē̆ib(h)-
stegodon,1. (s)teg-
stegosaur,1. (s)teg-
stein,stāi-
stele,3. stel-
stellar,2. stē̆r-
stellate,2. stē̆r-
stemma,steb(h)-
stem,stā-
stencil,sk̑āi-
stenosis,2. sten-
stephanotis,steb(h)-
step,steb(h)-
step-,1. (s)teu-
stercoraceous,8. (s)ter-
stercoral,8. (s)ter-
stercoricolous,8. (s)ter-
stercory,8. (s)ter-
stercovorous,8. (s)ter-
stereobate,gu̯ā-
stere,1. (s)ter-
sterigma,1. (s)ter-
sterile,6. ster-
sternocleidomastoid,"klēu- , mad- , 5. ster-"
sternocostal,kost-
sternum,5. ster-
sternutation,pster-
stern,1. (s)ter-
stertor,pster-
stet,stā-
stevedore,stē̆ib(h)-
steward,"stāi- , 8. u̯er-"
stew,4. dheu-
sthenia,seg̑h-
stichometry,steigh-
stichomythia,steigh-
stich,steigh-
stickleback,(s)teig-
stickler,steigh-
stickle,steigh-
stick,(s)teig-
stiff,stē̆ib(h)-
stifle,stē̆ib(h)-
stigma,(s)teig-
stile,steigh-
still,3. stel-
stilt,3. stel-
stimulus,(s)tei-
Sting,stegh-
sting,stegh-
stint,1. (s)teu-
stipel,stē̆ib(h)-
stipend,1. (s)pen(-d)-
stipes,stē̆ib(h)-
stipe,stē̆ib(h)-
stipple,stē̆ib(h)-
stipule,stē̆ib(h)-
stirk,stā-
stirrup,steigh-
stir,1. tu̯er-
stitch,(s)teig-
stithy,stā-
stiver,1. (s)teu-
stoa,stā-
stochastic,stegh-
stockade,2. (s)teg-
Stock,1. (s)teu-
stock,1. (s)teu-
stoichiometry,steigh-
stoicism,stā-
stoic,stā-
stoker,1. (s)teu-
stoke,1. (s)teu-
stolen,3. ster-
stole,3. ster-
stolid,3. stel-
stollen,3. stel-
stolon,3. stel-
stomach,stomen-
stomatous,stomen-
stoma,stomen-
stomodaeum,sed-
-stomy,stomen-
Stonebows,"3. bheug- , stāi-"
Stonewain,"stāi- , u̯eg̑h-"
stone,stāi-
stood,stā-
stool,stā-
stoop,1. (s)teu-
Stoors,stā-
stope,steb(h)-
store,stā-
stork,1. (s)ter-
Stormcrow,"2. ger- , 1. tu̯er-"
storm,1. tu̯er-
story,2. u̯(e)id-
stoss,1. (s)teu-
stotinka,dek̑m̥
stound,stā-
stoup,(s)teig-
stout,3. stel-
stover,1. op-
stove,4. dheu-
stow,stā-
strabismus,1. (s)ter-
strabotomy,1. (s)ter-
strafe,1. (s)ter-
strain,2. streig-
strait,2. streig-
strand,5. ster-
strange,eg̑hs
strangles,strenk-
strangle,strenk-
strangulate,strenk-
strangury,strenk-
stratagem,ag̑-
strategist,ag̑-
strategy,ag̑-
strath,5. ster-
stratocracy,5. ster-
stratus,5. ster-
Strawheads,"kap-ut , 5. ster-"
straw,5. ster-
stray,5. ster-
streak,4. ster-
stream,sreu-
street,5. ster-
strength,strenk-
streptomyces,2. meug-
streptomycin,1. (s)ter-
streptonigrin,"neku̯-(t-) , 1. (s)ter-"
strepto-,1. (s)ter-
stress,2. streig-
stretto,2. streig-
streusel,5. ster-
strew,5. ster-
stria,4. ster-
strickle,4. ster-
strict,2. streig-
stridden,1. (s)ter-
strident,3. (s)treig-
Strider,1. (s)ter-
stride,1. (s)ter-
strigil,4. ster-
strigose,4. ster-
strike,4. ster-
strime,1. (s)ter-
stringendo,2. streig-
stringent,2. streig-
string,strenk-
stripe,4. ster-
strobilus,1. (s)ter-
stroboscope,1. (s)ter-
strode,1. (s)ter-
stroke,4. ster-
stromatolite,5. ster-
stroma,5. ster-
strong,strenk-
strophanthin,andh-
strophe,1. (s)ter-
strophoid,1. (s)ter-
strophulus,1. (s)ter-
strop,1. (s)ter-
struck,4. ster-
structure,5. ster-
strudel,sr-edh-
struggle,1. (s)ter-
strumpery,1. (s)ter-
strumpet,1. (s)ter-
struthious,trozdos-
strut,1. (s)ter-
stubble,stē̆ib(h)-
stub,1. (s)teu-
stucco,1. (s)teu-
stuck,(s)teig-
student,1. (s)teu-
study,1. (s)teu-
stud,stā-
stull,3. stel-
stultify,3. stel-
stump,steb(h)-
stung,stegh-
stun,1. (s)ten-
stupefy,1. (s)teu-
stupendous,1. (s)teu-
stupid,1. (s)teu-
sturdy,trozdos-
stutter,1. (s)teu-
stut,1. (s)teu-
Stybba,1. (s)teu-
style,(s)tei-
stylite,stā-
stylobate,gu̯ā-
stylus,(s)tei-
Styx,1. (s)teu-
sty,steigh-
suasion,su̯ād-
suave,su̯ād-
subaltern,1. al-
subaudition,8. au̯-
subduction,"deuk- , upo"
subdue,"deuk- , upo"
subfusc,"4. dheu- , upo"
subito,1. ei-
subjacent,i̯ē-
subject,i̯ē-
subjoin,2. i̯eu-
subjugate,2. i̯eu-
sublate,1. tel-
sublunary,leuk-
submerge,1. mezg-
submit,smeit-
subordinate,1. ar-
suborn,1. ar-
subpoena,1. ku̯ei(-t)-
subreption,rep-
subrogate,1. reg̑-
subscribe,4. (s)ker-
subsequent,1. seku̯-
subside,sed-
subsidy,sed-
subsist,stā-
substance,stā-
substitute,stā-
substratum,5. ster-
substruction,5. ster-
subsume,em-
subtend,1. ten-
subterfuge,1. bheug-
subterranean,ters-
subter-,upo
subtle,tek̑þ-
subtract,trāgh-
