Reflex,Etyma
banal,2. bhā-
bandanna,bhendh-
banderilla,1. bhā-
banderole,1. bhā-
bandit,2. bhā-
bandoleer,1. bhā-
bandolier,1. bhā-
band,bhendh-
bane,bhen-
bang,bheg-
banish,2. bhā-
bankrupt,2. reu-
Banks,bheg-
bank,bheg-
banneret,1. bhā-
banner,1. bhā-
banns,2. bhā-
banquette,bheg-
banquet,bheg-
banshee,"gu̯ē̆nā , sed-"
bantling,bheg-
banyan,1. u̯en-
ban,2. bhā-
baptize,1. gu̯ēbh-
-bar,2. gu̯er-
barbellate,bhardhā
barbel,bhardhā
barber,bhardhā
barbette,bhardhā
barbican,5. u̯er-
barbicel,bhardhā
barbule,bhardhā
barb,bhardhā
Bard,4. gu̯er(ə)-
bard,2a. per-
barefoot,"bhoso-s , 2. pē̆d-"
barely,bhoso-s
bare,bhoso-s
bargain,bherg̑h-
barghest,gheis-
barite,2. gu̯er-
baritone,"2. gu̯er- , 1. ten-"
barium,2. gu̯er-
bark,2. bhreg̑-
barley,bhares-
Barliman,"bhares- , manu-s"
barmy,2. bher-
barm,2. bher-
barn,bhares-
barouche,ret(h)-
baro-,2. gu̯er-
Barrow-downs,"bhereg̑h- , 4. dheu-"
Barrowfield,"bhereg̑h- , pelə-"
Barrow-wight,"bhereg̑h- , u̯ek-ti-"
barrow,bhereg̑h-
barycenter,2. gu̯er-
baryon,2. gu̯er-
barysphere,2. gu̯er-
baryta,2. gu̯er-
bar,2. gu̯er-
bar-,2. gu̯er-
bascule,2. (s)keu-
base,gu̯ā-
bashaw,poti-s
basis,gu̯ā-
bass,bhares-
baste,1. bhā̆u-
bateau,bheid-
bathe,bhē-
bathos,gu̯ā̆dh-
bathyscaphe,2. (s)kē̆p-
bathy-,gu̯ā̆dh-
bath,bhē-
batophobia,gu̯ā-
batten,bhāt-
batter,bhāt-
battledore,bhāt-
battle,bhāt-
bat,bhlag̑-
bawd,3. bhel-
bawl,6. bhel-
bayadere,2. gu̯el-
baye,badi̯os
bay,badi̯os
bazaar,8. u̯es-
beacon,1. bhā-
beadle,bheudh-
bead,2. bhedh-
beam,bheu-
bean,bhabhā
bearberry,bhar-
beard,bhardhā
bear,5. bher-
beastings,2. b(e)u-
beaten,1. bhā̆u-
beatific,2. dhē-
beatify,2. deu-
beatitude,2. deu-
beat,1. bhā̆u-
beauty,2. deu-
beau,2. deu-
beaver,5. bher-
became,gu̯ā-
beche-de-mer,mori
beckon,1. bhā-
